Metric,U-Net,ResUNet-DS,Proposed,Proposed - ResUNet-DS,Proposed - U-Net
Mean Dice (C1-C4),0.7231 ± 0.0120,0.7366 ± 0.0083,0.7406 ± 0.0151,0.004011085904118139,0.01758419870051975
Minority Dice (C2-C4),0.6819 ± 0.0156,0.6980 ± 0.0113,0.7016 ± 0.0197,0.0036319965424608247,0.01966013793311061
Mean IoU (C1-C4),0.5760 ± 0.0137,0.5920 ± 0.0094,0.5964 ± 0.0180,0.0043901173903115875,0.020409796687387516
Macro Precision (C1-C4),0.6693 ± 0.0136,0.6819 ± 0.0085,0.6945 ± 0.0159,0.012608850933611193,0.025234469659020764
Macro Recall (C1-C4),0.7929 ± 0.0237,0.8048 ± 0.0104,0.7987 ± 0.0198,-0.006157876443290133,0.005749500740895197
Weighted Kappa,0.9732 ± 0.0023,0.9735 ± 0.0023,0.9731 ± 0.0009,-0.00035651034434613926,-9.872992703185979e-05
Ordinal MAE,0.0498 ± 0.0045,0.0482 ± 0.0029,0.0490 ± 0.0023,0.0007997235309077227,-0.0007964101634861526
Adjacent Error Rate,0.0489 ± 0.0044,0.0476 ± 0.0027,0.0485 ± 0.0024,0.0009116331933361616,-0.0003991111614567791
Distant Error Rate,0.0003 ± 0.0002,0.0002 ± 0.0002,0.0002 ± 0.0002,-5.096756452143222e-05,-0.0001412856997087535
Dice C1,0.8464 ± 0.0071,0.8526 ± 0.0022,0.8578 ± 0.0045,0.005148353989089749,0.011356381002746607
Dice C2,0.5685 ± 0.0258,0.5903 ± 0.0285,0.6066 ± 0.0274,0.016239487362606497,0.03805667839271454
Dice C3,0.7161 ± 0.0148,0.7351 ± 0.0179,0.7373 ± 0.0255,0.0022401853039962782,0.021198096248977616
Dice C4,0.7612 ± 0.0195,0.7685 ± 0.0195,0.7609 ± 0.0210,-0.007583683039220412,-0.0002743608423599886
IoU C1,0.7338 ± 0.0107,0.7431 ± 0.0033,0.7510 ± 0.0069,0.007873272649039587,0.017205830678577616
IoU C2,0.3975 ± 0.0254,0.4192 ± 0.0286,0.4357 ± 0.0281,0.016513155218139453,0.03823265797295694
IoU C3,0.5580 ± 0.0179,0.5814 ± 0.0224,0.5845 ± 0.0322,0.003069927944931994,0.026507522466094446
IoU C4,0.6147 ± 0.0254,0.6243 ± 0.0258,0.6144 ± 0.0273,-0.009895886250865238,-0.00030682436807893954
